ID,Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year,Price
1,Corporate,Italy,Laptop,Low,52,113,788,40976,2048.8,38927.2,5876,33051.2,1/1/2023,1,January,2023,788
2,Corporate,Germany,Headphones,Low,93,275,1188,110484,5524.2,104959.8,25575,79384.8,1/2/2023,1,January,2023,1188
3,Corporate,Germany,Tablet,Low,15,236,723,10845,542.25,10302.75,3540,6762.75,1/3/2023,1,January,2023,723
4,Home Office,France,Smartphone,Medium,72,233,494,35568,3556.8,32011.2,16776,15235.2,1/4/2023,1,January,2023,494
5,Corporate,United Kingdom,Smartphone,Low,61,108,1161,70821,3541.05,67279.95,6588,60691.95,1/5/2023,1,January,2023,1161
6,Corporate,United States,Tablet,Medium,21,158,423,8883,888.3,7994.7,3318,4676.7,1/6/2023,1,January,2023,423
7,Home Office,France,Monitor,Low,83,247,724,60092,3004.6,57087.4,20501,36586.4,1/7/2023,1,January,2023,724
8,Corporate,Italy,Smartphone,High,87,278,245,21315,4263,17052,24186,-7134,1/8/2023,1,January,2023,245
9,Corporate,United Kingdom,Monitor,Low,75,170,866,64950,3247.5,61702.5,12750,48952.5,1/9/2023,1,January,2023,866
10,Consumer,Italy,Laptop,Medium,75,82,312,23400,2340,21060,6150,14910,1/10/2023,1,January,2023,312
11,Consumer,United States,Smartphone,Medium,88,230,432,38016,3801.6,34214.4,20240,13974.4,1/11/2023,1,January,2023,432
12,Home Office,United Kingdom,Monitor,High,24,199,216,5184,1036.8,4147.2,4776,-628.8,1/12/2023,1,January,2023,216
13,Consumer,Germany,Laptop,High,3,70,559,1677,335.4,1341.6,210,1131.6,1/13/2023,1,January,2023,559
14,Home Office,United Kingdom,Laptop,Low,22,247,422,9284,464.2,8819.8,5434,3385.8,1/14/2023,1,January,2023,422
15,Consumer,United Kingdom,Monitor,Medium,53,119,1065,56445,5644.5,50800.5,6307,44493.5,1/15/2023,1,January,2023,1065
16,Consumer,United Kingdom,Tablet,Medium,2,296,899,1798,179.8,1618.2,592,1026.2,1/16/2023,1,January,2023,899
17,Corporate,United States,Tablet,High,88,161,647,56936,11387.2,45548.8,14168,31380.8,1/17/2023,1,January,2023,647
18,Corporate,United States,Monitor,Medium,30,53,1055,31650,3165,28485,1590,26895,1/18/2023,1,January,2023,1055
19,Consumer,United Kingdom,Tablet,Medium,38,143,564,21432,2143.2,19288.8,5434,13854.8,1/19/2023,1,January,2023,564
20,Corporate,United States,Monitor,High,2,124,874,1748,349.6,1398.4,248,1150.4,1/20/2023,1,January,2023,874
21,Corporate,Germany,Laptop,Low,64,239,525,33600,1680,31920,15296,16624,1/21/2023,1,January,2023,525
22,Home Office,United States,Tablet,High,60,111,666,39960,7992,31968,6660,25308,1/22/2023,1,January,2023,666
23,Consumer,United States,Laptop,Medium,21,143,613,12873,1287.3,11585.7,3003,8582.7,1/23/2023,1,January,2023,613
24,Corporate,France,Laptop,Medium,33,144,654,21582,2158.2,19423.8,4752,14671.8,1/24/2023,1,January,2023,654
25,Home Office,France,Tablet,Low,76,201,785,59660,2983,56677,15276,41401,1/25/2023,1,January,2023,785
26,Consumer,Germany,Smartphone,Medium,58,104,432,25056,2505.6,22550.4,6032,16518.4,1/26/2023,1,January,2023,432
27,Corporate,United States,Headphones,Medium,22,186,423,9306,930.6,8375.4,4092,4283.4,1/27/2023,1,January,2023,423
28,Corporate,France,Headphones,Medium,89,296,1193,106177,10617.7,95559.3,26344,69215.3,1/28/2023,1,January,2023,1193
29,Consumer,France,Headphones,Low,49,180,1030,50470,2523.5,47946.5,8820,39126.5,1/29/2023,1,January,2023,1030
30,Home Office,United Kingdom,Tablet,High,91,292,611,55601,11120.2,44480.8,26572,17908.8,1/30/2023,1,January,2023,611
31,Home Office,Germany,Laptop,High,59,80,771,45489,9097.8,36391.2,4720,31671.2,1/31/2023,1,January,2023,771
32,Consumer,Germany,Monitor,High,42,89,534,22428,4485.6,17942.4,3738,14204.4,2/1/2023,2,February,2023,534
33,Consumer,France,Tablet,Medium,92,278,421,38732,3873.2,34858.8,25576,9282.8,2/2/2023,2,February,2023,421
34,Consumer,France,Headphones,Low,60,85,236,14160,708,13452,5100,8352,2/3/2023,2,February,2023,236
35,Consumer,United States,Monitor,Medium,80,201,1188,95040,9504,85536,16080,69456,2/4/2023,2,February,2023,1188
36,Home Office,Germany,Headphones,Low,15,272,477,7155,357.75,6797.25,4080,2717.25,2/5/2023,2,February,2023,477
37,Corporate,United Kingdom,Laptop,Low,62,55,395,24490,1224.5,23265.5,3410,19855.5,2/6/2023,2,February,2023,395
38,Consumer,United Kingdom,Laptop,High,62,115,1115,69130,13826,55304,7130,48174,2/7/2023,2,February,2023,1115
39,Consumer,Italy,Tablet,Medium,47,261,1063,49961,4996.1,44964.9,12267,32697.9,2/8/2023,2,February,2023,1063
40,Corporate,United States,Smartphone,Medium,62,269,683,42346,4234.6,38111.4,16678,21433.4,2/9/2023,2,February,2023,683
41,Corporate,United States,Laptop,Low,51,124,441,22491,1124.55,21366.45,6324,15042.45,2/10/2023,2,February,2023,441
42,Home Office,United Kingdom,Monitor,Medium,55,53,523,28765,2876.5,25888.5,2915,22973.5,2/11/2023,2,February,2023,523
43,Home Office,United States,Smartphone,Medium,64,128,930,59520,5952,53568,8192,45376,2/12/2023,2,February,2023,930
44,Consumer,United Kingdom,Monitor,Medium,3,183,391,1173,117.3,1055.7,549,506.7,2/13/2023,2,February,2023,391
45,Consumer,Italy,Monitor,Low,51,167,216,11016,550.8,10465.2,8517,1948.2,2/14/2023,2,February,2023,216
46,Corporate,United Kingdom,Smartphone,Low,7,162,723,5061,253.05,4807.95,1134,3673.95,2/15/2023,2,February,2023,723
47,Consumer,United Kingdom,Tablet,High,21,143,1117,23457,4691.4,18765.6,3003,15762.6,2/16/2023,2,February,2023,1117
48,Home Office,United Kingdom,Smartphone,Medium,73,297,600,43800,4380,39420,21681,17739,2/17/2023,2,February,2023,600
49,Home Office,France,Headphones,High,39,279,1105,43095,8619,34476,10881,23595,2/18/2023,2,February,2023,1105
50,Consumer,United Kingdom,Tablet,Low,18,228,1085,19530,976.5,18553.5,4104,14449.5,2/19/2023,2,February,2023,1085
51,Home Office,Italy,Laptop,Medium,4,111,904,3616,361.6,3254.4,444,2810.4,2/20/2023,2,February,2023,904
52,Consumer,France,Monitor,Low,89,234,221,19669,983.45,18685.55,20826,-2140.45,2/21/2023,2,February,2023,221
53,Home Office,France,Monitor,Low,60,243,673,40380,2019,38361,14580,23781,2/22/2023,2,February,2023,673
54,Consumer,Germany,Smartphone,Low,14,128,319,4466,223.3,4242.7,1792,2450.7,2/23/2023,2,February,2023,319
55,Consumer,Germany,Smartphone,High,9,252,409,3681,736.2,2944.8,2268,676.8,2/24/2023,2,February,2023,409
56,Consumer,Italy,Smartphone,Low,90,185,505,45450,2272.5,43177.5,16650,26527.5,2/25/2023,2,February,2023,505
57,Consumer,United States,Monitor,Low,53,75,469,24857,1242.85,23614.15,3975,19639.15,2/26/2023,2,February,2023,469
58,Home Office,Italy,Laptop,Medium,2,228,903,1806,180.6,1625.4,456,1169.4,2/27/2023,2,February,2023,903
59,Home Office,France,Headphones,High,84,222,886,74424,14884.8,59539.2,18648,40891.2,2/28/2023,2,February,2023,886
60,Corporate,Italy,Monitor,Low,92,93,484,44528,2226.4,42301.6,8556,33745.6,3/1/2023,3,March,2023,484
61,Home Office,France,Laptop,Low,60,182,915,54900,2745,52155,10920,41235,3/2/2023,3,March,2023,915
62,Home Office,France,Tablet,Medium,71,119,875,62125,6212.5,55912.5,8449,47463.5,3/3/2023,3,March,2023,875
63,Corporate,France,Headphones,Medium,44,203,962,42328,4232.8,38095.2,8932,29163.2,3/4/2023,3,March,2023,962
64,Home Office,United States,Monitor,High,8,167,426,3408,681.6,2726.4,1336,1390.4,3/5/2023,3,March,2023,426
65,Corporate,United Kingdom,Tablet,Medium,47,117,1147,53909,5390.9,48518.1,5499,43019.1,3/6/2023,3,March,2023,1147
66,Corporate,Italy,Monitor,High,35,68,580,20300,4060,16240,2380,13860,3/7/2023,3,March,2023,580
67,Home Office,France,Tablet,High,78,261,659,51402,10280.4,41121.6,20358,20763.6,3/8/2023,3,March,2023,659
68,Home Office,United Kingdom,Monitor,Medium,81,274,206,16686,1668.6,15017.4,22194,-7176.6,3/9/2023,3,March,2023,206
69,Corporate,United Kingdom,Monitor,High,36,69,228,8208,1641.6,6566.4,2484,4082.4,3/10/2023,3,March,2023,228
70,Consumer,France,Smartphone,High,50,162,1106,55300,11060,44240,8100,36140,3/11/2023,3,March,2023,1106
71,Home Office,Germany,Smartphone,Low,4,189,232,928,46.4,881.6,756,125.6,3/12/2023,3,March,2023,232
72,Home Office,Italy,Headphones,Medium,2,96,845,1690,169,1521,192,1329,3/13/2023,3,March,2023,845
73,Consumer,Italy,Smartphone,High,6,50,1078,6468,1293.6,5174.4,300,4874.4,3/14/2023,3,March,2023,1078
74,Home Office,Germany,Headphones,Medium,54,139,278,15012,1501.2,13510.8,7506,6004.8,3/15/2023,3,March,2023,278
75,Consumer,Germany,Laptop,Medium,4,191,1127,4508,450.8,4057.2,764,3293.2,3/16/2023,3,March,2023,1127
76,Home Office,Germany,Smartphone,High,54,113,1146,61884,12376.8,49507.2,6102,43405.2,3/17/2023,3,March,2023,1146
77,Consumer,France,Headphones,High,93,87,658,61194,12238.8,48955.2,8091,40864.2,3/18/2023,3,March,2023,658
78,Home Office,Germany,Smartphone,High,63,86,769,48447,9689.4,38757.6,5418,33339.6,3/19/2023,3,March,2023,769
79,Consumer,Germany,Headphones,Medium,18,175,1182,21276,2127.6,19148.4,3150,15998.4,3/20/2023,3,March,2023,1182
80,Corporate,Germany,Headphones,Medium,90,188,737,66330,6633,59697,16920,42777,3/21/2023,3,March,2023,737
81,Home Office,United Kingdom,Headphones,Low,44,149,681,29964,1498.2,28465.8,6556,21909.8,3/22/2023,3,March,2023,681
82,Home Office,United Kingdom,Tablet,Medium,34,126,629,21386,2138.6,19247.4,4284,14963.4,3/23/2023,3,March,2023,629
83,Corporate,United Kingdom,Monitor,High,74,284,937,69338,13867.6,55470.4,21016,34454.4,3/24/2023,3,March,2023,937
84,Corporate,Germany,Tablet,Medium,62,52,484,30008,3000.8,27007.2,3224,23783.2,3/25/2023,3,March,2023,484
85,Consumer,France,Headphones,Low,14,210,715,10010,500.5,9509.5,2940,6569.5,3/26/2023,3,March,2023,715
86,Home Office,United States,Monitor,Medium,95,183,1176,111720,11172,100548,17385,83163,3/27/2023,3,March,2023,1176
87,Corporate,United Kingdom,Tablet,Low,48,227,298,14304,715.2,13588.8,10896,2692.8,3/28/2023,3,March,2023,298
88,Corporate,Germany,Monitor,Low,15,297,596,8940,447,8493,4455,4038,3/29/2023,3,March,2023,596
89,Corporate,Italy,Tablet,High,72,59,688,49536,9907.2,39628.8,4248,35380.8,3/30/2023,3,March,2023,688
90,Home Office,Italy,Smartphone,Medium,78,54,238,18564,1856.4,16707.6,4212,12495.6,3/31/2023,3,March,2023,238
91,Home Office,Germany,Smartphone,Medium,87,200,470,40890,4089,36801,17400,19401,4/1/2023,4,April,2023,470
92,Consumer,Germany,Laptop,Medium,62,187,1086,67332,6733.2,60598.8,11594,49004.8,4/2/2023,4,April,2023,1086
93,Corporate,France,Headphones,High,40,221,996,39840,7968,31872,8840,23032,4/3/2023,4,April,2023,996
94,Home Office,France,Tablet,Medium,85,179,356,30260,3026,27234,15215,12019,4/4/2023,4,April,2023,356
95,Corporate,United Kingdom,Tablet,Medium,80,62,274,21920,2192,19728,4960,14768,4/5/2023,4,April,2023,274
96,Consumer,Germany,Monitor,Low,82,217,1083,88806,4440.3,84365.7,17794,66571.7,4/6/2023,4,April,2023,1083
97,Home Office,United States,Tablet,High,53,179,999,52947,10589.4,42357.6,9487,32870.6,4/7/2023,4,April,2023,999
98,Consumer,United Kingdom,Smartphone,High,24,133,329,7896,1579.2,6316.8,3192,3124.8,4/8/2023,4,April,2023,329
99,Consumer,Germany,Tablet,Medium,26,114,886,23036,2303.6,20732.4,2964,17768.4,4/9/2023,4,April,2023,886
100,Home Office,United Kingdom,Monitor,High,89,112,1173,104397,20879.4,83517.6,9968,73549.6,4/10/2023,4,April,2023,1173
101,Corporate,United Kingdom,Smartphone,Low,60,150,283,16980,849,16131,9000,7131,4/11/2023,4,April,2023,283
102,Corporate,Italy,Laptop,Medium,41,122,221,9061,906.1,8154.9,5002,3152.9,4/12/2023,4,April,2023,221
103,Consumer,Germany,Smartphone,Low,29,66,658,19082,954.1,18127.9,1914,16213.9,4/13/2023,4,April,2023,658
104,Consumer,Italy,Tablet,High,15,58,738,11070,2214,8856,870,7986,4/14/2023,4,April,2023,738
105,Home Office,Germany,Laptop,Medium,45,252,906,40770,4077,36693,11340,25353,4/15/2023,4,April,2023,906
106,Consumer,France,Smartphone,Low,65,192,1048,68120,3406,64714,12480,52234,4/16/2023,4,April,2023,1048
107,Home Office,Italy,Smartphone,Medium,89,201,581,51709,5170.9,46538.1,17889,28649.1,4/17/2023,4,April,2023,581
108,Consumer,United States,Headphones,Low,71,87,947,67237,3361.85,63875.15,6177,57698.15,4/18/2023,4,April,2023,947
109,Corporate,United Kingdom,Monitor,Medium,9,296,639,5751,575.1,5175.9,2664,2511.9,4/19/2023,4,April,2023,639
110,Home Office,United States,Smartphone,Medium,88,212,803,70664,7066.4,63597.6,18656,44941.6,4/20/2023,4,April,2023,803
111,Home Office,United Kingdom,Smartphone,Low,1,143,1188,1188,59.4,1128.6,143,985.6,4/21/2023,4,April,2023,1188
112,Consumer,Italy,Tablet,Medium,8,144,220,1760,176,1584,1152,432,4/22/2023,4,April,2023,220
113,Corporate,United Kingdom,Monitor,Medium,88,98,502,44176,4417.6,39758.4,8624,31134.4,4/23/2023,4,April,2023,502
114,Consumer,Germany,Smartphone,Low,63,118,1175,74025,3701.25,70323.75,7434,62889.75,4/24/2023,4,April,2023,1175
115,Corporate,Germany,Headphones,Low,11,111,1068,11748,587.4,11160.6,1221,9939.6,4/25/2023,4,April,2023,1068
116,Home Office,United Kingdom,Laptop,High,81,237,1154,93474,18694.8,74779.2,19197,55582.2,4/26/2023,4,April,2023,1154
117,Home Office,Germany,Laptop,Medium,8,285,283,2264,226.4,2037.6,2280,-242.4,4/27/2023,4,April,2023,283
118,Consumer,United Kingdom,Monitor,Low,35,227,973,34055,1702.75,32352.25,7945,24407.25,4/28/2023,4,April,2023,973
119,Consumer,Germany,Smartphone,Low,35,127,858,30030,1501.5,28528.5,4445,24083.5,4/29/2023,4,April,2023,858
120,Home Office,Germany,Monitor,Low,33,166,1152,38016,1900.8,36115.2,5478,30637.2,4/30/2023,4,April,2023,1152
121,Consumer,France,Smartphone,Low,5,169,652,3260,163,3097,845,2252,5/1/2023,5,May,2023,652
122,Consumer,United Kingdom,Headphones,Medium,41,252,586,24026,2402.6,21623.4,10332,11291.4,5/2/2023,5,May,2023,586
123,Home Office,France,Monitor,High,28,186,706,19768,3953.6,15814.4,5208,10606.4,5/3/2023,5,May,2023,706
124,Corporate,Germany,Monitor,Low,7,211,456,3192,159.6,3032.4,1477,1555.4,5/4/2023,5,May,2023,456
125,Home Office,Germany,Headphones,Medium,73,125,769,56137,5613.7,50523.3,9125,41398.3,5/5/2023,5,May,2023,769
126,Consumer,Italy,Headphones,Low,72,276,1091,78552,3927.6,74624.4,19872,54752.4,5/6/2023,5,May,2023,1091
127,Home Office,United States,Headphones,Medium,12,84,1133,13596,1359.6,12236.4,1008,11228.4,5/7/2023,5,May,2023,1133
128,Home Office,Germany,Tablet,Medium,34,50,726,24684,2468.4,22215.6,1700,20515.6,5/8/2023,5,May,2023,726
129,Home Office,United States,Smartphone,Medium,33,89,361,11913,1191.3,10721.7,2937,7784.7,5/9/2023,5,May,2023,361
130,Consumer,United Kingdom,Smartphone,Low,48,113,1156,55488,2774.4,52713.6,5424,47289.6,5/10/2023,5,May,2023,1156
131,Consumer,Italy,Laptop,High,23,199,362,8326,1665.2,6660.8,4577,2083.8,5/11/2023,5,May,2023,362
132,Consumer,United Kingdom,Laptop,Medium,62,109,1031,63922,6392.2,57529.8,6758,50771.8,5/12/2023,5,May,2023,1031
133,Consumer,United States,Headphones,Low,88,113,992,87296,4364.8,82931.2,9944,72987.2,5/13/2023,5,May,2023,992
134,Corporate,Italy,Tablet,Medium,37,142,991,36667,3666.7,33000.3,5254,27746.3,5/14/2023,5,May,2023,991
135,Home Office,Germany,Headphones,High,99,121,723,71577,14315.4,57261.6,11979,45282.6,5/15/2023,5,May,2023,723
136,Consumer,France,Headphones,High,44,60,985,43340,8668,34672,2640,32032,5/16/2023,5,May,2023,985
137,Corporate,United Kingdom,Laptop,High,86,154,470,40420,8084,32336,13244,19092,5/17/2023,5,May,2023,470
138,Home Office,Italy,Headphones,High,91,278,691,62881,12576.2,50304.8,25298,25006.8,5/18/2023,5,May,2023,691
139,Home Office,United Kingdom,Tablet,High,35,63,407,14245,2849,11396,2205,9191,5/19/2023,5,May,2023,407
140,Corporate,Germany,Laptop,Medium,65,109,738,47970,4797,43173,7085,36088,5/20/2023,5,May,2023,738
141,Home Office,United States,Smartphone,Low,99,79,783,77517,3875.85,73641.15,7821,65820.15,5/21/2023,5,May,2023,783
142,Consumer,Germany,Tablet,Low,47,84,259,12173,608.65,11564.35,3948,7616.35,5/22/2023,5,May,2023,259
143,Consumer,United States,Headphones,Low,78,262,629,49062,2453.1,46608.9,20436,26172.9,5/23/2023,5,May,2023,629
144,Corporate,United Kingdom,Smartphone,High,3,214,1184,3552,710.4,2841.6,642,2199.6,5/24/2023,5,May,2023,1184
145,Corporate,France,Monitor,Medium,1,54,856,856,85.6,770.4,54,716.4,5/25/2023,5,May,2023,856
146,Corporate,Germany,Headphones,High,5,132,804,4020,804,3216,660,2556,5/26/2023,5,May,2023,804
147,Corporate,Italy,Smartphone,Low,90,172,508,45720,2286,43434,15480,27954,5/27/2023,5,May,2023,508
148,Corporate,United Kingdom,Laptop,Medium,14,127,719,10066,1006.6,9059.4,1778,7281.4,5/28/2023,5,May,2023,719
149,Home Office,Italy,Laptop,Low,27,203,790,21330,1066.5,20263.5,5481,14782.5,5/29/2023,5,May,2023,790
150,Consumer,Germany,Laptop,Medium,9,111,226,2034,203.4,1830.6,999,831.6,5/30/2023,5,May,2023,226
151,Corporate,Italy,Smartphone,Low,79,181,885,69915,3495.75,66419.25,14299,52120.25,5/31/2023,5,May,2023,885
152,Corporate,France,Tablet,High,15,138,761,11415,2283,9132,2070,7062,6/1/2023,6,June,2023,761
153,Consumer,Italy,Smartphone,High,90,286,398,35820,7164,28656,25740,2916,6/2/2023,6,June,2023,398
154,Corporate,United States,Headphones,Medium,42,91,586,24612,2461.2,22150.8,3822,18328.8,6/3/2023,6,June,2023,586
155,Home Office,Italy,Smartphone,High,77,138,548,42196,8439.2,33756.8,10626,23130.8,6/4/2023,6,June,2023,548
156,Home Office,United Kingdom,Tablet,High,51,195,1159,59109,11821.8,47287.2,9945,37342.2,6/5/2023,6,June,2023,1159
157,Corporate,France,Smartphone,Medium,63,89,1139,71757,7175.7,64581.3,5607,58974.3,6/6/2023,6,June,2023,1139
158,Consumer,Italy,Laptop,Low,96,121,892,85632,4281.6,81350.4,11616,69734.4,6/7/2023,6,June,2023,892
159,Corporate,United States,Laptop,High,52,88,735,38220,7644,30576,4576,26000,6/8/2023,6,June,2023,735
